Id,Title,DOI,Year,Source
"M44","Diagnosing Performance Issues in Microservices with Heterogeneous Data Source","10.1109/ISPA-BDCloud-SocialCom-SustainCom52081.2021.00074",2021,"IEEE, SCOPUS"
"M45","MFRL-CA: Microservice Fault Root Cause Location based on Correlation Analysis","10.1109/DSA52907.2021.00018",2021,"IEEE, SCOPUS"
"M46","TraceRank: Abnormal service localization with dis-aggregated end-to-end tracing data in cloud native systems","10.1002/smr.2413",2021,"SCOPUS"
"M47","A Roadmap for Migration System-Architecture Decision by Neutrosophic-ANP and Benchmark for Enterprise Resource Planning Systems","10.1109/ACCESS.2021.3068837",2021,"IEEE, SCOPUS"
"M48","AAMR: Automated anomalous microservice ranking in cloud-native environment","10.18293/SEKE2021-091",2021,"SCOPUS"
"M49","Performance Diagnosis in Cloud Microservices Using Deep Learning","10.1007/978-3-030-76352-7_13",2020,"ACM, SCOPUS, SPRINGER"
"M50","Fault Analysis and Debugging of Microservice Systems: Industrial Survey, Benchmark System, and Empirical Study","10.1109/TSE.2018.2887384",2021,"ACM, IEEE, SCOPUS"
"M51","AID: Efficient Prediction of Aggregated Intensity of Dependency in Large-Scale Cloud Systems","10.1109/ASE51524.2021.9678534",2022,"ACM, IEEE, SCOPUS"
"M52","An Approach of Automated Anomalous Microservice Ranking in Cloud-Native Environments","10.1142/S0218194021400167",2021,"SCOPUS"
"M53","Detecting anomalies in microservices with execution trace comparison","10.1016/j.future.2020.10.040",2021,"SCOPUS"
"M54","T-Rank:A Lightweight Spectrum based Fault Localization Approach for Microservice Systems","10.1109/CCGrid51090.2021.00051",2021,"IEEE, SCOPUS"
"M55","MicroDiag: Fine-grained Performance Diagnosis for Microservice Systems","10.1109/CloudIntelligence52565.2021.00015",2021,"IEEE, SCOPUS"
"M56","Practical Root Cause Localization for Microservice Systems via Trace Analysis","10.1109/IWQOS52092.2021.9521340",2021,"IEEE, SCOPUS"
"M57","Trace-based Intelligent Fault Diagnosis for Microservices with Deep Learning","10.1109/COMPSAC51774.2021.00121",2021,"IEEE, SCOPUS"
"M58","Faster, deeper, easier: Crowdsourcing diagnosis of microservice kernel failure from user space","10.1145/3460319.3464805",2021,"SCOPUS"
"M59","Improving observability in Event Sourcing systems","10.1016/j.jss.2021.111015",2021,"SCOPUS"
"M60","GRAF: A Graph Neural Network Based Proactive Resource Allocation Framework for SLO-Oriented Microservices","10.1145/3485983.3494866",2021,"ACM, SCOPUS"
"M61","Enabling Containerized, Parametric and Distributed Database Deployment and Benchmarking as a Service","10.1145/3447545.3451188",2021,"ACM, SCOPUS"
"M62","Root-Cause Metric Location for Microservice Systems via Log Anomaly Detection","10.1109/ICWS49710.2020.00026",2020,"IEEE, SCOPUS"
"M63","Graph-Based Root Cause Analysis for Service-Oriented and Microservice Architectures","10.1016/j.jss.2019.110432",2020,"ACM, SCOPUS"
"M64","Identification of Comparison Key Elements and Their Relationships for Cloud Service Selection","10.1007/978-3-030-44769-4_6",2020,"SCOPUS, SPRINGER"
"M65","An Anomaly Detection Algorithm for Microservice Architecture Based on Robust Principal Component Analysis","10.1109/ACCESS.2020.3044610",2020,"IEEE, SCOPUS"
"M66","MicroRCA: Root Cause Localization of Performance Issues in Microservices","10.1109/NOMS47738.2020.9110353",2020,"ACM, IEEE, SCOPUS"
"M67","FIRM: An Intelligent Fine-Grained Resource Management Framework for SLO-Oriented Microservices","",2020,"ACM, SCOPUS"
"M67","Firm: An intelligent fine-grained resource management framework for SLO-Oriented microservices","",2020,"SCOPUS"
"M68","Fitness-guided Resilience Testing of Microservice-based Applications","10.1109/ICWS49710.2020.00027",2020,"IEEE, SCOPUS"
"M69","Graph-Based Trace Analysis for Microservice Architecture Understanding and Problem Diagnosis","10.1145/3368089.3417066",2020,"ACM, SCOPUS"
"M70","MicroRAS: Automatic Recovery in the Absence of Historical Failure Data for Microservice Systems","10.1109/UCC48980.2020.00041",2020,"IEEE, SCOPUS"
"M71","Large-Scale Intelligent Microservices","10.1109/BigData50022.2020.9378270",2020,"IEEE, SCOPUS"
"M72","Automated code-smell detection in microservices through static analysis: A case study","10.3390/app10217800",2020,"SCOPUS"
"M73","Efficient resource management in the cloud: From simulation to experimental validation using a low-cost Raspberry Pi testbed","10.1002/spe.2669",2019,"SCOPUS"
"M74","On anomaly detection and root cause analysis of microservice systems","10.1007/978-3-030-17642-6_45",2019,"SCOPUS, SPRINGER"
"M75","22nd International Conference on Fundamental Approaches to Software Engineering, FASE 2019, Held as Part of the European Joint Conferences on Theory and Practice of Software, ETAPS 2019","",2019,"SCOPUS"
"M76","12th International Conference on Cloud Computing, CLOUD 2019 held as part of the Services Conference Federation, SCF 2019","",2019,"SCOPUS"
"M77","Offering security diagnosis as a service for cloud SaaS applications","10.1016/j.jisa.2018.11.006",2019,"SCOPUS"
"M78","MS-Rank: Multi-Metric and Self-Adaptive Root Cause Diagnosis for Microservice Applications","10.1109/ICWS.2019.00022",2019,"IEEE, SCOPUS"
"M79","A Comparative Analysis of Emerging Approaches for Securing Java Software with Intel SGX","10.1016/j.future.2019.03.018",2019,"ACM, SCOPUS"
"M80","Latent Error Prediction and Fault Localization for Microservice Applications by Learning from System Trace Logs","10.1145/3338906.3338961",2019,"ACM, SCOPUS"
"M81","A Data-Centric Approach to Distributed Tracing","10.1109/CloudCom.2019.00039",2019,"IEEE, SCOPUS"
"M82","ORCAS: Efficient Resilience Benchmarking of Microservice Architectures","10.1109/ISSREW.2018.00-10",2018,"IEEE, SCOPUS"
"M83","Visualization Tool for Designing Microservices with the Monolith-First Approach","10.1109/VISSOFT.2018.00012",2018,"SCOPUS"
"M84","CloudRanger: Root Cause Identification for Cloud Native Systems","10.1109/CCGRID.2018.00076",2018,"ACM, IEEE, SCOPUS"
"M85","Benchmarking Microservice Systems for Software Engineering Research","10.1145/3183440.3194991",2018,"ACM, SCOPUS"
"M86","Inferring Calling Relationship Based on External Observation for Microservice Architecture","10.1007/978-3-319-69035-3_16",2017,"ACM, SCOPUS, SPRINGER"
"M87","Procedia Computer Science","",2015,"SCOPUS"
"M88","Efficient Management in Fog Computing","10.1109/NOMS56928.2023.10154219",2023,"IEEE"
"M89","Enhancing Fault Injection Testing of Service Systems via Fault-Tolerance Bottleneck","10.1109/TSE.2023.3285357",2023,"IEEE"
"M90","Multi-Layer Observability for Fault Localization in Microservices Based Systems","10.1109/SANER56733.2023.00081",2023,"IEEE"
"M91","μBench: An Open-Source Factory of Benchmark Microservice Applications","10.1109/TPDS.2023.3236447",2023,"IEEE"
"M92","Automated Grey-Box Testing of Microservice Architectures","10.1109/QRS57517.2022.00070",2022,"IEEE"
"M93","TS-InvarNet: Anomaly Detection and Localization based on Tempo-spatial KPI Invariants in Distributed Services","10.1109/ICWS55610.2022.00031",2022,"IEEE"
"M94","Telemetry-Based Software Failure Prediction by Concept-Space Model Creation","10.1109/QRS57517.2022.00030",2022,"IEEE"
"M95","Scalable Collaborative Software Visualization as a Service: Short Industry and Experience Paper","10.1109/IC2E55432.2022.00026",2022,"IEEE"
"M96","Automated performance prediction of microservice applications using simulation","10.1109/MASCOTS53633.2021.9614260",2021,"IEEE"
"M97","A layered framework for root cause diagnosis of microservices","10.1109/NCA53618.2021.9685494",2021,"IEEE"
"M98","A Framework of Virtual War Room and Matrix Sketch-Based Streaming Anomaly Detection for Microservice Systems","10.1109/ACCESS.2020.2977464",2020,"IEEE"
"M99","Chamulteon: Coordinated Auto-Scaling of Micro-Services","10.1109/ICDCS.2019.00199",2019,"IEEE"
"M100","Response Time Characterization of Microservice-Based Systems","10.1109/NCA.2018.8548062",2018,"IEEE"
"M101","Poster: Benchmarking Microservice Systems for Software Engineering Research","",2018,"IEEE"
"M102","IoMiRCA: Root Cause Analysis in IoT-Extended 5G Microservice Environments","10.1145/3555776.3577840",2023,"ACM"
"M103","Automated Test-Based Learning and Verification of Performance Models for Microservices Systems","10.1016/j.jss.2022.111225",2022,"ACM"
"M104","Cushion: A Proactive Resource Provisioning Method to Mitigate SLO Violations for Containerized Microservices","10.1049/cmu2.12464",2022,"ACM"
"M105","Erms: Efficient Resource Management for Shared Microservices with SLA Guarantees","10.1145/3567955.3567964",2022,"ACM"
"M106","Automatic Performance Diagnosis and Recovery in Cloud Microservices / Automatische Leistungsdiagnose Und Wiederherstellung in  Cloud-Microservices","",2022,"ACM"
"M107","Proactive-Reactive Global Scaling, With&nbsp;Analytics","10.1007/978-3-031-20984-0_16",2022,"ACM"
"M108","Secure Distributed Applications the Decent Way","10.1145/3457340.3458304",2021,"ACM"
"M109","Sage: Practical and Scalable ML-Driven Performance Debugging in Microservices","10.1145/3445814.3446700",2021,"ACM"
"M110","Improving Business Processes Using Blockchain, Microservices, or Cloud Computing: A Goal-Oriented Approach","",2021,"ACM"
"M111","Designing and Managing Large-Scale Interactive Microservices in Datacenters","",2021,"ACM"
"M112","Localization of Operational Faults in Cloud Applications by Mining Causal Dependencies in Logs Using Golden Signals","10.1007/978-3-030-76352-7_17",2020,"ACM, SPRINGER"
"M113","An Analysis of Call-Site Patching without Strong Hardware Support for Self-Modifying-Code","10.1145/3357390.3361027",2019,"ACM"
"M114","Asynchronous Snapshots of Actor Systems for Latency-Sensitive Applications","10.1145/3357390.3361019",2019,"ACM"
"M115","Swift Birth and Quick Death: Enabling Fast Parallel Guest Boot and Destruction in the Xen Hypervisor","10.1145/3050748.3050758",2017,"ACM"
"M116","Model-Driven Generation of Microservice Architectures for Benchmarking Performance and Resilience Engineering Approaches","10.1145/3053600.3053627",2017,"ACM"
"M117","Benchmark Requirements for Microservices Architecture Research","",2017,"ACM"
"M118","An Interoperable Cloud Platform for the Garment Industry","10.1007/978-3-031-16075-2_32",2023,"SPRINGER"
"M119","ROS-based architecture for fast digital twin development of smart manufacturing robotized systems","10.1007/s10479-022-04759-4",2023,"SPRINGER"
"M120","Resource scheduling techniques in cloud from a view of coordination: a holistic survey","10.1631/FITEE.2100298",2023,"SPRINGER"
"M121","Cyber-Physical Equipment as a Service","10.1007/978-3-031-16281-7_31",2023,"SPRINGER"
"M122","Qualitative and quantitative comparison of Spring Cloud and Kubernetes in migrating from a monolithic to a microservice architecture","10.1007/s11761-023-00364-w",2023,"SPRINGER"
"M123","Special issue on deep learning and big data analytics for medical e-diagnosis/AI-based e-diagnosis","10.1007/s00521-023-08689-5",2023,"SPRINGER"
"M124","A two-tier hybrid ensemble learning pipeline for intrusion detection systems in IoT networks","10.1007/s12652-022-04461-0",2023,"SPRINGER"
"M125","Building an open-source system test generation tool: lessons learned and empirical analyses with EvoMaster","10.1007/s11219-023-09620-w",2023,"SPRINGER"
"M126","A survey of Kubernetes scheduling algorithms","10.1186/s13677-023-00471-1",2023,"SPRINGER"
"M127","CSADE: a delay-sensitive scheduling method based on task admission and delay evaluation on edge–cloud collaboration","10.1007/s10586-023-04017-7",2023,"SPRINGER"
"M128","Automatic gait analysis through computer vision: a pilot study","10.1007/s00521-023-08549-2",2023,"SPRINGER"
"M129","IoT-fog-based healthcare 4.0 system using blockchain technology","10.1007/s11227-022-04788-7",2023,"SPRINGER"
"M130","A priority-aware scheduling framework for heterogeneous workloads in container-based cloud","10.1007/s10489-022-04164-1",2023,"SPRINGER"
"M131","Microservices in IoT Middleware Architectures: Architecture, Trends, and Challenges","10.1007/978-981-19-3575-6_39",2023,"SPRINGER"
"M132","Impact Prediction of Online Education During COVID-19 Using Machine Learning: A Case Study","10.1007/978-981-19-7663-6_54",2023,"SPRINGER"
"M133","Report on the State of the SoSyM Journal end of 2022","10.1007/s10270-023-01085-6",2023,"SPRINGER"
"M134","Hardening Containers with Static and Dynamic Analysis","10.1007/978-981-19-6414-5_12",2023,"SPRINGER"
"M135","Cycle Detection and Clustering for Cyber Physical Systems","10.1007/978-3-031-28694-0_10",2023,"SPRINGER"
"M136","A technology transfer journey to a model-driven access control system","10.1007/s10009-023-00697-z",2023,"SPRINGER"
"M137","DTFab: A Digital Twin based Approach for Optimal Reticle Management in Semiconductor Photolithography","10.1007/s11518-023-5564-x",2023,"SPRINGER"
"M138","Early Spam Detection Using Time-Based Cache in Graph database","10.1007/s00354-023-00223-4",2023,"SPRINGER"
"M139","Comparative analysis of color histogram and LBP in CBIR systems","10.1007/s11042-023-15955-0",2023,"SPRINGER"
"M140","Cor-ENTC:correlation with ensembled approach for network traffic classification using SDN technology for future networks","10.1007/s11227-022-04969-4",2023,"SPRINGER"
"M141","Securing Microservice-Driven Applications Based on API Access Graphs Using Supervised Machine Learning Techniques","10.1007/978-981-19-6634-7_41",2023,"SPRINGER"
"M142","The Role of Blockchain to Reduce the Dissemination of Fake News on Social Media and Messaging Platforms","10.1007/978-3-031-20160-8_15",2023,"SPRINGER"
"M143","Integrating Issue Management Systems of Independently Developed Software Components","10.1007/978-3-031-33976-9_1",2023,"SPRINGER"
"M144","Task scheduling in the internet of things: challenges, solutions, and future trends","10.1007/s10586-023-03991-2",2023,"SPRINGER"
"M145","An intelligent model for supporting edge migration for virtual function chains in next generation internet of things","10.1038/s41598-023-27674-5",2023,"SPRINGER"
"M146","A multi-model framework for semantically enhancing detection of quality-related bug report descriptions","10.1007/s10664-022-10280-w",2023,"SPRINGER"
"M147","Resilient and dependability management in distributed environments: a systematic and comprehensive literature review","10.1007/s10586-022-03738-5",2023,"SPRINGER"
"M148","Containers in HPC: a survey","10.1007/s11227-022-04848-y",2023,"SPRINGER"
"M149","Fault Detection Method for Power Distribution Network Based on Ensemble Learning","10.1007/978-981-99-3300-6_19",2023,"SPRINGER"
"M150","Semi-supervised Learning Enabled Fault Analysis Method for Power Distribution Network Based on LSTM Autoencoder and Attention Mechanism","10.1007/978-981-99-3300-6_18",2023,"SPRINGER"
"M151","A Survey on the Use of Lightweight Virtualization in I4.0 Manufacturing Environments","10.1007/s10922-023-09725-4",2023,"SPRINGER"
"M152","A Review of Monitoring Probes for Cloud Computing Continuum","10.1007/978-3-031-28694-0_59",2023,"SPRINGER"
"M153","Low-power multi-cloud deployment of large distributed service applications with response-time constraints","10.1186/s13677-022-00363-w",2023,"SPRINGER"
"M154","Detecting Semantic Clones in Microservices Using Components","10.1007/s42979-023-01910-1",2023,"SPRINGER"
"M155","Machine Learning for Cloud Resources Management—An Overview","10.1007/978-981-19-3035-5_67",2023,"SPRINGER"
"M156","Information extraction pipelines for knowledge graphs","10.1007/s10115-022-01826-x",2023,"SPRINGER"
"M157","Genetic algorithms and heuristics hybridized for software architecture recovery","10.1007/s10515-023-00384-y",2023,"SPRINGER"
"M158","Energy efficiency in cloud computing data centers: a survey on software technologies","10.1007/s10586-022-03713-0",2023,"SPRINGER"
"M159","An automatic model management system and its implementation for AIOps on microservice platforms","10.1007/s11227-023-05123-4",2023,"SPRINGER"
"M160","Regulation and Validation Challenges in Artificial Intelligence-Empowered Healthcare Applications—The Case of Blood-Retrieved Biomarkers","10.1007/978-3-031-17583-1_8",2023,"SPRINGER"
"M161","Proposal and comparative analysis of a voting-based election algorithm for managing service replication in MANETs","10.1007/s10489-023-04506-7",2023,"SPRINGER"
"M162","Digital Disruption in Major Ports with Special Reference to Chennai Port, Kamarajar Port, and Tuticorin Port","10.1007/978-981-19-9379-4_8",2023,"SPRINGER"
"M163","Content-aware QoE optimization in MEC-assisted Mobile video streaming","10.1007/s11042-023-15163-w",2023,"SPRINGER"
"M164","Modular Quality-of-Service Analysis of Software Design Models for Cyber-Physical Systems","10.1007/978-3-031-34560-9_6",2023,"SPRINGER"
"M165","Intent-Driven Orchestration: Enforcing Service Level Objectives for Cloud Native Deployments","10.1007/s42979-023-01698-0",2023,"SPRINGER"
"M166","AI Quality Engineering for Machine Learning Based IoT Data Processing","10.1007/978-3-031-21637-4_4",2022,"SPRINGER"
"M167","Latency and Energy-Awareness in Data Stream Processing for Edge Based IoT Systems","10.1007/s10723-022-09611-4",2022,"SPRINGER"
"M168","A comparative study of application-level caching recommendations at the method level","10.1007/s10664-021-10089-z",2022,"SPRINGER"
"M169","On Technical Debt in Software Testing - Observations from Industry","10.1007/978-3-031-19756-7_17",2022,"SPRINGER"
"M170","Dynamic scheduling of heterogeneous resources across mobile edge-cloud continuum using fruit fly-based simulated annealing optimization scheme","10.1007/s00521-022-07260-y",2022,"SPRINGER"
"M171","Cost-effective learning-based strategies for test case prioritization in continuous integration of highly-configurable software","10.1007/s10664-021-10093-3",2022,"SPRINGER"
"M172","Designing Architecture for Container-As-A-Service (CaaS) in Cloud Computing Environment: A Review","10.1007/978-981-19-2828-4_50",2022,"SPRINGER"
"M173","Autonomous robotic additive manufacturing through distributed model�?free deep reinforcement learning in computational design environments","10.1007/s41693-022-00069-0",2022,"SPRINGER"
"M174","Multi-agent QoS-aware autonomic resource provisioning framework for elastic BPM in containerized multi-cloud environment","10.1007/s12652-022-04120-4",2022,"SPRINGER"
"M175","Fog computing in enabling 5G-driven emerging technologies for development of sustainable smart city infrastructures","10.1007/s10586-021-03496-w",2022,"SPRINGER"
"M176","Smart IoT and Machine Learning-based Framework for Water Quality Assessment and Device Component Monitoring","10.1007/s11356-022-19014-3",2022,"SPRINGER"
"M177","A systematic review on effective energy utilization management strategies in cloud data centers","10.1186/s13677-022-00368-5",2022,"SPRINGER"
"M178","Failure Root Cause Analysis for Microservices, Explained","10.1007/978-3-031-16092-9_6",2022,"SPRINGER"
"M179","Scaling Knowledge Graphs for Automating AI of Digital Twins","10.1007/978-3-031-19433-7_46",2022,"SPRINGER"
"M180","Billing System and 5G Network Slicing Service","10.1007/978-981-16-8558-3_24",2022,"SPRINGER"
"M181","A multi-dimensional extensible cloud-native service stack for enterprises","10.1186/s13677-022-00366-7",2022,"SPRINGER"
"M182","Containers’ Privacy and Data Protection via Runtime Scanning Methods","10.1007/978-3-030-93479-8_3",2022,"SPRINGER"
"M183","Enabling the Rescheduling of Containerized Workloads in an Ad Hoc Cross-Organizational Collaboration","10.1007/s10922-022-09699-9",2022,"SPRINGER"
"M184","MaritimeDS: a data service framework for unsupervised maritime traffic monitoring based on trajectory big data","10.1007/s40860-021-00163-0",2022,"SPRINGER"
"M185","Special Issue on New Paradigms of Software Production and Deployment","10.1007/s42979-022-01029-9",2022,"SPRINGER"
"M186","Workload Time Series Cumulative Prediction Mechanism for Cloud Resources Using Neural Machine Translation Technique","10.1007/s10723-022-09607-0",2022,"SPRINGER"
"M187","Faulty RJ45 connectors detection on radio base station using deep learning","10.1007/s11042-022-12694-6",2022,"SPRINGER"
"M188","Improved data-driven root cause analysis in fog computing environment","10.1007/s40860-021-00158-x",2022,"SPRINGER"
"M189","Static and Dynamic Dependency Visualization in a Layered Software City","10.1007/s42979-022-01404-6",2022,"SPRINGER"
"M190","Unstructured Log Analysis for System Anomaly Detection—A Study","10.1007/978-981-16-5685-9_48",2022,"SPRINGER"
"M191","Distributed Log Search Based on Time Series Access and Service Relations","10.1007/978-3-030-99587-4_10",2022,"SPRINGER"
"M192","Stochastic model-driven capacity planning framework for multi-access edge computing","10.1007/s00607-022-01102-4",2022,"SPRINGER"
"M193","Interactive Elicitation of Resilience Scenarios Based on Hazard Analysis Techniques","10.1007/978-3-031-15116-3_11",2022,"SPRINGER"
"M194","Hybrid Grouping Genetic Algorithm for Large-Scale Two-Level Resource Allocation of Containers in the Cloud","10.1007/978-3-030-97546-3_42",2022,"SPRINGER"
"M195","A survey on AI for storage","10.1007/s42514-022-00101-3",2022,"SPRINGER"
"M196","DLPFS: The Data Leakage Prevention FileSystem","10.1007/978-3-031-16815-4_21",2022,"SPRINGER"
"M197","Using Real-Time Dashboards to Monitor the Impact of Disruptive Events on Real Estate Market. Case of COVID-19 Pandemic in Australia","10.1007/s43762-022-00044-z",2022,"SPRINGER"
"M198","Log Attention – Assessing Software Releases with Attention-Based Log Anomaly Detection","10.1007/978-3-031-14135-5_11",2022,"SPRINGER"
"M199","Performance Analysis of Docker Containerization and Virtualization","10.1007/978-981-16-8862-1_56",2022,"SPRINGER"
"M200","A method for transforming knowledge discovery metamodel to ArchiMate models","10.1007/s10270-021-00912-y",2022,"SPRINGER"
"M201","Upilio: Leveraging the Serverless Paradigm for Building a Versatile IoT Application","10.1007/978-3-031-04718-3_8",2022,"SPRINGER"
"M202","Prediction of low accessibility in 4G networks","10.1007/s12243-021-00849-9",2022,"SPRINGER"
"M203","One Class Density Estimation Approach for Fault Detection and Rootcause Analysis in Computer Networks","10.1007/s10922-022-09671-7",2022,"SPRINGER"
"M204","Feature-based critical components identification in multimedia software","10.1007/s11042-021-11277-1",2022,"SPRINGER"
"M205","Performance Comparison of Two Java-Based Actor Systems","10.1007/978-981-16-1781-2_9",2022,"SPRINGER"
"M206","Scalable Discovery and Continuous Inventory of Personal Data at Rest in Cloud Native Systems","10.1007/978-3-031-20984-0_36",2022,"SPRINGER"
"M207","EPMA: Elastic Platform for Microservices-based Applications: Towards Optimal Resource Elasticity","10.1007/s10723-021-09597-5",2022,"SPRINGER"
"M208","Study on the Organization and Governance of Bigdata for Lifelong Education","10.1007/978-3-030-97774-0_45",2022,"SPRINGER"
"M209","Building a Performance Efficient Core Banking System Based on the Microservices Architecture","10.1007/s10723-022-09624-z",2022,"SPRINGER"
"M210","Anomalous behavior detection-based approach for authenticating smart home system users","10.1007/s10207-021-00571-6",2022,"SPRINGER"
"M211","Does PageRank apply to service ranking in microservice regression testing?","10.1007/s11219-021-09579-6",2022,"SPRINGER"
"M212","Component-Centric Mobile Cloud Architecture Performance Evaluation: an Analytical Approach for Unified Models and Component Compatibility with Next Generation Evolving Technologies","10.1007/s11036-022-01933-7",2022,"SPRINGER"
